X,Y,Type,Date,Descriptions,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,RoadType
41862.4761201397,36541.6800196604,Accident,31/1/2018,Accident on Simei Road (towards PIE) after Simei Street 1. Avoid left lane.,TM,TAMPINES,ER,EAST REGION,non_expressway
8422.04477733832,34560.2810222861,Accident,31/1/2018,Accident on AYE (towards MCE) before PIE Exit. Avoid lane 4.,TS,TUAS,WR,WEST REGION,expressway
28754.8655127917,31968.3199646961,Accident,31/1/2018,Accident in CTE Tunnel (towards AYE) before Orchard Rd Exit. Avoid lanes 2 and 3.,NT,NEWTON,CR,CENTRAL REGION,expressway
40040.7808436358,37103.5199703158,Accident,31/1/2018,Accident on Tampines Avenue 5 near Tampines Avenue 4/Tampines Avenue 5 Junction.,TM,TAMPINES,ER,EAST REGION,non_expressway
23579.4738290679,36685.4100291208,Accident,30/1/2018,Accident on PIE (towards Tuas) at BKE(Woodlands) Exit.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
23302.7380862856,45158.8910069187,Accident,30/1/2018,Accident on SLE (towards CTE) before Woodlands Ave 12 Exit.,WD,WOODLANDS,NR,NORTH REGION,expressway
21109.4165215662,43968.7620109326,Accident,30/1/2018,Accident on BKE (towards Woodlands) after Mandai Rd Entrance.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway
28159.1347709398,35914.1799535626,Accident,30/1/2018,Accident on Macritchie Viaduct (towards Braddell) after PIE with congestion till Commonwealth Avenue. Avoid left lane.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,non_expressway
33860.0917965351,33837.7379588063,Accident,30/1/2018,Accident on PIE (towards Changi Airport) before Paya Lebar Rd with congestion till Kallang. Avoid lane 1.,GL,GEYLANG,CR,CENTRAL REGION,expressway
22651.6223081946,30809.6499837629,Accident,30/1/2018,Accident on AYE (towards Tuas) at North Buona vista Entrance.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway
36484.6039453398,31953.4200305938,Accident,30/1/2018,Accident on Marine Parade Road (towards Marine Drive) after Still Road South. Avoid left lane.,MP,MARINE PARADE,CR,CENTRAL REGION,non_expressway
27517.0338901358,32102.4299705385,Accident,30/1/2018,Accident on Orchard Road (towards Bras Basah Rd) after Tanglin Road. Avoid left lane.,OR,ORCHARD,CR,CENTRAL REGION,non_expressway
40043.0024696172,39180.679974521,Accident,30/1/2018,Accident on TPE (towards PIE) before Pasir Ris Dr 8 Exit. Avoid lane 1.,PR,PASIR RIS,ER,EAST REGION,expressway
20788.0050372438,46498.8790513181,Accident,30/1/2018,Accident on BKE (towards Woodlands) before Woodlands Checkpoint. Avoid lane 2.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway
42569.7164728905,37005.2379522588,Accident,29/1/2018,Accident on Upper Changi Road East (toward City) after Upper Changi Road North. Avoid left lane.,TM,TAMPINES,ER,EAST REGION,expressway
36680.5657805949,31567.6090154922,Accident,29/1/2018,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Tg Katong Rd Exit.,MP,MARINE PARADE,CR,CENTRAL REGION,expressway
21673.3502096244,36197.1719923154,Accident,29/1/2018,Accident on Jalan Anak Bukit (towards City) after Old Jurong Road. Avoid left lane.,BP,BUKIT PANJANG,WR,WEST REGION,non_expressway
