X,Y,Type,Latitude,Longitude,Date,Time,Descriptio,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,RoadType,join_osm_i,join_name,join_ref,join_type,join_onewa,join_bridg,join_maxsp,distance
30799.0615815857,36786.9490045642,Heavy Traffic,1.34896,103.85847,16/2/2018,12:06:00 PM,Heavy Traffic on CTE (towards AYE) between AMK Ave 5 Exit and Braddell Rd/Lor Chuan Exit.,SERANGOON,SG,NORTH-EAST REGION,NER,expressway,174552484,Central Expressway,CTE,motorway,1,0,90,6.085100645366704
25827.6752162593,35116.60196824,Heavy Traffic,1.33386,103.81380,16/2/2018,11:54:00 AM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,6.471006546408876
34594.8053125673,42503.8200507453,Heavy Traffic,1.40066,103.89258,15/2/2018,11:02:00 PM,Heavy Traffic on TPE (towards PIE) at Sengkang Exit.,PUNGGOL,PG,NORTH-EAST REGION,NER,expressway,32776720,Punggol West Interchange,,motorway_link,1,0,,2.761575491360592
36033.7918423114,41906.230024199,Heavy Traffic,1.39526,103.90551,15/2/2018,10:02:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,32776625,Punggol Interchange,,motorway_link,1,0,50,3.758597881448126
31264.6732507856,34814.8520195883,Heavy Traffic,1.33113,103.86265,15/2/2018,5:40:00 PM,Heavy Traffic on CTE (towards AYE) at PIE(Changi) Exit.,TOA PAYOH,TP,CENTRAL REGION,CR,expressway,350345286,,,motorway_link,1,1,,1.879075190416382
35886.9686610192,41989.7110285772,Heavy Traffic,1.39601,103.90419,15/2/2018,3:19:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,74584466,Punggol Interchange,,motorway_link,1,0,90,1.912882385235856
38340.0421025369,39977.2300400023,Heavy Traffic,1.37781,103.92623,15/2/2018,7:54:00 AM,Heavy Traffic on TPE (towards PIE) between KPE Exit and Pasir Ris Dr 12 Exit.,PAYA LEBAR,PL,EAST REGION,ER,expressway,74549066,Tampines Expressway,TPE,motorway,1,0,90,8.695056493302072
42328.4432505867,37816.4999911966,Heavy Traffic,1.35827,103.96207,15/2/2018,7:51:00 AM,Heavy Traffic on TPE (towards SLE) at Tampines Ave 7 Exit.,TAMPINES,TM,EAST REGION,ER,expressway,44436766,,,motorway_link,1,0,50,0.564266164183028
20795.9748465546,46169.9609739161,Heavy Traffic,1.43382,103.76858,15/2/2018,4:38:00 AM,Heavy Traffic on BKE (towards Woodlands) before Woodlands Rd Exit.,WOODLANDS,WD,NORTH REGION,NR,expressway,75402266,Bukit Timah Expressway,BKE,motorway,1,0,90,8.098889917995352
20773.1826399166,46524.8280075916,Heavy Traffic,1.43703,103.76838,14/2/2018,11:20:00 PM,Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,SUNGEI KADUT,SK,NORTH REGION,NR,expressway,134996398,Woodlands Centre Road,Exit,motorway_link,1,0,,0.962674246076507
6678.83144299457,36194.5390151348,Heavy Traffic,1.34360,103.64174,14/2/2018,11:13:00 PM,Heavy Traffic on AYE (towards Tuas) after Tuas West Dr Exit.,TUAS,TS,WEST REGION,WR,expressway,119663633,Ayer Rajah Expressway,AYE,motorway,1,0,,6.381221859005453
30763.2915401272,38049.9219545449,Heavy Traffic,1.36038,103.85815,14/2/2018,10:31:00 PM,Heavy Traffic on CTE (towards SLE) between Braddell Rd Exit and AMK Ave 1 Exit.,ANG MO KIO,AM,NORTH-EAST REGION,NER,expressway,37523738,Central Expressway,CTE,motorway,1,0,90,0.228514751071641
36022.2735009397,41911.3909814639,Heavy Traffic,1.39531,103.90541,14/2/2018,9:31:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,32776625,Punggol Interchange,,motorway_link,1,0,50,2.384840056320289
39911.789841134,39270.5200022021,Heavy Traffic,1.37142,103.94035,14/2/2018,6:55:00 PM,Heavy Traffic on TPE (towards SLE) between Tampines Ave 7 Exit and Tampines Rd Exit.,TAMPINES,TM,EAST REGION,ER,expressway,176204511,Tampines Expressway,TPE,motorway,1,0,90,6.369953455520619
32887.4120008055,30912.9940200396,Heavy Traffic,1.29584,103.87723,14/2/2018,6:46:00 PM,Heavy Traffic on MCE (towards ECP) at ECP (Changi) Exit.,KALLANG,KL,CENTRAL REGION,CR,expressway,140562812,East Coast Parkway,Exit,motorway_link,1,0,,7.578063152425991
32306.567468417,34082.9300029604,Heavy Traffic,1.32451,103.87202,14/2/2018,6:33:00 PM,Heavy Traffic on PIE (towards Tuas) between Jalan Eunos and KPE Exit.,KALLANG,KL,CENTRAL REGION,CR,expressway,479616336,Pan-Island Expressway,PIE,motorway,1,0,90,6.314264246133287
31247.9662102766,35022.8520361282,Heavy Traffic,1.33301,103.86250,14/2/2018,6:22:00 PM,Heavy Traffic on CTE (towards AYE) at PIE(Changi) Exit.,TOA PAYOH,TP,CENTRAL REGION,CR,expressway,176296745,,,motorway_link,1,0,,0.676278621642244
36195.5188713968,31430.2790478228,Heavy Traffic,1.30052,103.90696,14/2/2018,6:20:00 PM,Heavy Traffic on ECP (towards Changi Airport) between Fort Rd Exit and Still Rd Sth Exit.,MARINE PARADE,MP,CENTRAL REGION,CR,expressway,477796387,East Coast Parkway,ECP,motorway,1,0,90,6.860025557521149
28455.2854896098,29688.5389485885,Heavy Traffic,1.28477,103.83741,14/2/2018,6:13:00 PM,Heavy Traffic in CTE Tunnel (towards AYE) at Outram Rd Exit.,OUTRAM,OT,CENTRAL REGION,CR,expressway,23135311,Outram Road,Exit,motorway_link,1,0,,3.599626207655660
24059.8995070189,29816.9709546614,Heavy Traffic,1.28593,103.79792,14/2/2018,6:08:00 PM,Heavy Traffic on AYE (towards MCE) between Clementi Ave 2 Exit and Alexandra Rd Exit.,QUEENSTOWN,QT,CENTRAL REGION,CR,expressway,75007298,Ayer Rajah Expressway,AYE,motorway,1,0,90,2.991079655518866
37246.0374837148,40366.8870350091,Heavy Traffic,1.38134,103.91640,14/2/2018,6:03:00 PM,Heavy Traffic on KPE (towards TPE) at TPE(SLE) Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,22791294,TPE towards Punggol,Exit,motorway_link,1,0,50,0.558633639422269
