X,Y,Type,Date,Dscrptn,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,join_osm_id,join_name,Accident_Location
44005.8764,34979.69095,Accident,23/1/2018,Accident on ECP (towards Changi Airport) before PIE Exit. Avoid lane 3.,TM,TAMPINES,ER,EAST REGION,166741193,East Coast Parkway,ECP
39599.86112,32460.94901,Accident,22/1/2018,Accident on ECP (towards City) after East Coast Park Carpark F3 Exit. Avoid lane 1.,BD,BEDOK,ER,EAST REGION,166807222,East Coast Parkway,ECP
18399.11439,41239.92996,Accident,14/2/2018,Accident on KJE (towards PIE) at Choa Chu Kang Dr Exit.,CK,CHOA CHU KANG,WR,WEST REGION,22733027,,KJE
18896.71253,41242.57801,Accident,14/2/2018,Accident on KJE (towards PIE) before Choa Chu Kang Dr Exit with congestion till BKE Entrance.,CK,CHOA CHU KANG,WR,WEST REGION,133983826,Kranji Expressway,KJE
19939.07307,41279.96102,Accident,14/2/2018,Accident on KJE (towards PIE) at Senja Rd Entrance.,BP,BUKIT PANJANG,WR,WEST REGION,262190480,Kranji Expressway,KJE
21391.4757,41539.01196,Accident,11/2/2018,Accident on KJE (towards BKE) at BKE(Woodlands) Exit.,SK,SUNGEI KADUT,NR,NORTH REGION,462871390,,KJE
18896.26749,41245.539,Accident,9/2/2018,Accident on KJE (towards PIE) before Choa Chu Kang Dr Exit. Avoid lane 1.,CK,CHOA CHU KANG,WR,WEST REGION,133983826,Kranji Expressway,KJE
18204.77344,41233.10204,Accident,8/2/2018,Accident on KJE (towards PIE) after Choa Chu Kang Dr Exit with congestion till BKE Entrance. Avoid lane 1.,CK,CHOA CHU KANG,WR,WEST REGION,480888452,Kranji Expressway,KJE
19548.55306,41200.12098,Accident,8/2/2018,Accident on KJE (towards BKE) after Woodlands Rd Exit.,BP,BUKIT PANJANG,WR,WEST REGION,133983828,Kranji Expressway,KJE
16964.45684,40189.14097,Accident,6/2/2018,Accident on KJE (towards PIE) at Sungei Tengah Rd Exit.,CK,CHOA CHU KANG,WR,WEST REGION,134208688,,KJE
18036.28133,41143.44095,Accident,26/1/2018,Accident on KJE (towards PIE) after Choa Chu Kang Dr Exit with congestion till Woodlands Rd Exit. Avoid lane 2.,CK,CHOA CHU KANG,WR,WEST REGION,480888452,Kranji Expressway,KJE
33816.59054,34795.35895,Accident,21/2/2018,Accident on KPE (towards ECP) after Airport Rd Entrance with congestion till Airport Rd Entrance. Avoid lane 2.,GL,GEYLANG,CR,CENTRAL REGION,49331891,Kallang-Paya Lebar Expressway,KPE
36324.81457,39187.55095,Accident,20/2/2018,Accident on KPE (towards ECP) after Buangkok Dr Entrance. Avoid lane 4.,PL,PAYA LEBAR,ER,EAST REGION,265150818,Kallang-Paya Lebar Expressway,KPE
