X,Y,Type,Date,Time,Descriptions
28039.0090102636,37326.1800091348,Roadwork,22/2/2018,10:56:00 AM,Roadworks on Upper Thomson Road (towards SLE) after Jalan Pelatina. Avoid left lane.
28578.3303098008,29331.0390152257,Roadwork,22/2/2018,10:55:00 AM,Roadworks on Outram Road (towards Second Hospital Avenue) after Outram Park. Avoid right lane.
20893.2076019684,30329.9100181194,Roadwork,22/2/2018,10:55:00 AM,Roadworks on West Coast Highway (towards Tuas) after Wholesale Centre. Avoid left lane.
21521.0760436254,30118.189028534,Roadwork,22/2/2018,10:54:00 AM,Roadworks on West Coast Highway (towards Tuas) after Wholesale Centre.
30509.3548798957,30600.1700301798,Roadwork,22/2/2018,10:53:00 AM,Roadworks on Nicoll Highway (towards Shenton Way) after Raffles Boulevard. Avoid left lane.
22196.1921120673,29529.7699641552,Roadwork,22/2/2018,10:52:00 AM,Roadworks on West Coast Highway (towards City) after Clementi Road.
32127.4497121299,30839.7500213367,Roadwork,22/2/2018,10:51:00 AM,Roadworks on ECP (towards Changi Airport) before Fort Rd Exit. Avoid lane 1.
32935.4426560807,32329.2500058356,Roadwork,22/2/2018,10:50:00 AM,Roadworks on Guillemard Road near Guillemard Road/Lorong 8 Geylang Junction.
31196.9846300269,32115.0510193826,Roadwork,22/2/2018,10:49:00 AM,Roadworks on Kallang Road (towards Victoria Street) after Kallang Walk.
26906.8701028486,31803.4200398136,Roadwork,22/2/2018,10:48:00 AM,Roadworks on Grange Road (towards Orchard Boulevard) after Cuscaden Road.
34195.133274899,38125.4410453526,Roadwork,22/2/2018,10:46:00 AM,Roadworks on Tampines Road (towards Jalan Teliti) after Hougang Avenue 1. Avoid left lane.
31633.992945291,31889.960970917,Roadwork,22/2/2018,10:43:00 AM,Roadworks on Crawford Street (towards Beach Road).
12729.6918092909,35449.4300063338,Roadwork,22/2/2018,10:42:00 AM,Roadworks on Pioneer Road North (towards Jurong West Street 63) after Upper Jurong Road. Avoid right lane.
28638.1880405998,32057.7299482824,Roadwork,22/2/2018,10:42:00 AM,Roadworks on Cairnhill Circle (towards CTE) after Cairnhill Rise. Avoid right lane.
31388.299023523,31652.4609925032,Roadwork,22/2/2018,10:41:00 AM,Roadworks on Beach Road (towards Republic Avenue) after Java Road. Avoid left lane.
21119.0962309396,45963.9489823503,Roadwork,22/2/2018,10:35:00 AM,Roadworks on Woodlands Avenue 3 (towards City) after Woodlands Ave 1. Avoid right lane.
15793.2015391027,34083.2889692834,Roadwork,22/2/2018,10:33:00 AM,Roadworks on AYE (towards MCE) after Yuan Ching Exit. Avoid lane 3.
21109.3922588884,45966.9879568102,Roadwork,22/2/2018,10:33:00 AM,Roadworks on Woodlands Avenue 3 (towards Woodlands Checkpoint) after BKE.
40970.5636244334,32691.03905398,Roadwork,22/2/2018,10:26:00 AM,Roadworks on ECP (towards Changi Airport) after Bayshore Rd Exit. Avoid lane 1.
21784.1777226948,35963.2889559587,Roadwork,22/2/2018,10:24:00 AM,Roadworks on Jalan Jurong Kechil near Jalan Anak Bukit/Jalan Jurong Kechil Junction.
19384.4668970539,43426.1290060222,Roadwork,22/2/2018,10:24:00 AM,Roadworks on Woodlands Road (towards City) after Mandai Road. Avoid left lane.
40230.1570387467,36456.0780028123,Roadwork,22/2/2018,10:23:00 AM,Roadworks on Tampines Avenue 5 (towards Tampines Avenue 1) after Tampines Avenue 2.
35909.8294104618,38178.4919723612,Roadwork,22/2/2018,10:23:00 AM,Roadworks on KPE (towards TPE) after Tampines Rd Exit. Avoid lane 1.
36327.2673915064,34334.0000188587,Roadwork,22/2/2018,10:21:00 AM,Roadworks on PIE (towards Tuas) at Jalan Eunos Exit.
